publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
The Ojibwe Of Great Spirit Island									https://4canoesportal.org/shelf/TheOjibweOfGreatSpiritIsland/TheOjibweOfGreatSpiritIsland_2022-11-28_16-07-05.html		TheOjibweOfGreatSpiritIsland		fulltext			monograph									
The Ojibwe Vol 1 Educator Guide									https://4canoesportal.org/shelf/Vol1EducatorGuide/Vol1EducatorGuide_2022-11-28_16-39-25.html		Vol1EducatorGuide		fulltext			monograph									
Les Ojibwes de L’Île du Grand Esprit									https://4canoesportal.org/shelf2/LesOJIBWESdeLLEDUGRANDESPRIT/LesOJIBWESdeLLEDUGRANDESPRIT_2024-05-19_02-10-02.html		LesOJIBWESdeLLEDUGRANDESPRIT		fulltext			monograph									
Ojibwe Special Edition									https://4canoesportal.org/shelf2/OwlKids4CanoesSpecialNationalIndigenousCelebrationEdition/OwlKids4CanoesSpecialNationalIndigenousCelebrationEdition_2025-11-10_17-40-20.html		OwlKids4CanoesSpecialNationalIndigenousCelebrationEdition		fulltext			monograph									
Ojibwe Special Edition Educator Guide									https://4canoesportal.org/shelf2/Vol1Owlkids4CanoesSpecialEditionEducatorGuide/Vol1Owlkids4CanoesSpecialEditionEducatorGuide_2025-11-10_17-34-41.html		Vol1Owlkids4CanoesSpecialEditionEducatorGuide		fulltext			monograph									
Ojibwe Special Edition Activity Booklet									https://4canoesportal.org/shelf2/Volume1OwlkidsOjibweActivityBooklet/Volume1OwlkidsOjibweActivityBooklet_2025-11-10_14-18-15.html		Volume1OwlkidsOjibweActivityBooklet		fulltext			monograph									
The Haida of Haida Gwaii									https://4canoesportal.org/shelf/Haida/TheHaidaofHaidaGwaii_2022-11-07_15-24-05.html		Haida		fulltext			monograph									
Haida Special Edition									https://4canoesportal.org/shelf2/HaidaOwlkids4CanoesSpecialEdition/HaidaOwlkids4CanoesSpecialEdition_2025-11-19_15-49-46.html		HaidaOwlkids4CanoesSpecialEdition		fulltext			monograph									
Haida Special Edition Activity Booklet									https://4canoesportal.org/shelf2/HaidaSpecialEditionActivityBooklet/HaidaSpecialEditionActivityBooklet_2022-11-28_16-38-11.html		HaidaSpecialEditionActivityBooklet		fulltext			monograph									
The Mi'kmaq of Ktaqamkuk									https://4canoesportal.org/shelf/Mikmaq/TheMikmaqofKtaqamkuk_2022-11-24_18-41-51.html		Mikmaq		fulltext			monograph									
The Yavapai: People Of The Sun									https://4canoesportal.org/shelf/TheYavapaiPeopleOfTheSun/TheYavapaiPeopleOfTheSun_2022-11-28_16-08-29.html		TheYavapaiPeopleOfTheSun		fulltext			monograph									
Gifts For Dawnis									https://4canoesportal.org/shelf/GiftsForDawnis/GiftsForDawnis_2022-11-28_16-09-27.html		GiftsForDawnis		fulltext			monograph									
Whispers On The Water									https://4canoesportal.org/shelf/WhispersOnTheWater/WhispersOnTheWater_2022-11-07_15-26-12.html		WhispersOnTheWater		fulltext			monograph									
Aundeck The Crow									https://4canoesportal.org/shelf/AundeckTheCrow/AundeckTheCrow_2022-11-28_16-11-49.html		AundeckTheCrow		fulltext			monograph									
The Eagle Feather Story									https://4canoesportal.org/shelf/Eagle/TheEagleFeatherStory_2022-11-07_15-25-34.html		Eagle		fulltext			monograph									
The Drum Story E-book									https://4canoesportal.org/shelf/TheDrumStoryEbook/TheDrumStoryEbook_2022-11-28_16-12-17.html		TheDrumStoryEbook		fulltext			monograph									
"Wah buuny-vah, The Yavapai Brush House"									https://4canoesportal.org/shelf/WahbuunyvahTheYavapaiBrushHouse/WahbuunyvahTheYavapaiBrushHouse_2022-11-28_16-16-41.html		WahbuunyvahTheYavapaiBrushHouse		fulltext			monograph									
Residential Schools									https://4canoesportal.org/shelf/ResidentialSchools/ResidentialSchools_2022-11-28_16-17-12.html		ResidentialSchools		fulltext			monograph									
